rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
540,135382,shadowrun-crossfire,Co-operative Play|Deck / Pool Building|Variable Player Powers,Campaign Games|Cyberpunk|From RPG books to board games|Shadowrun,Adventure|Card Game|Fantasy|Science Fiction,2469,7.30258,6.76396,4292,6|22|23,9|37|15,2|36|11,42|16|2,1|3|22,0|0|0|0|0|0|3|9|6,0|0|4|21|0,0,2
541,72287,mr-jack-pocket,Modular Board,Characters: Jack the Ripper|Characters: Sherlock Holmes|Cities: London|Country: England|Mr. Jack,Bluffing|Deduction|Murder/Mystery|Post-Napoleonic,5237,7.00568,6.75913,8600,0|1|25,34|1|0,NA,NA,NA,0|0|0|0|1|11|2|5|2,22|0|0|0|0,0,1
542,699,heroquest,Dice Rolling|Grid Movement|Modular Board|Partnerships|Role Playing|Roll / Spin and Move|Variable Player Powers,Campaign Games|HeroQuest|Warhammer Fantasy Board Games,Adventure|Exploration|Fantasy|Fighting|Miniatures,8343,7.03004,6.75604,12241,1|3|68,8|42|30,18|57|8,19|61|8,NA,0|1|0|0|7|25|14|2|2,0|3|15|34|1,0,2
543,16747,tumblin-dice,Dice Rolling,Finger Flicking Games|Solitaire Games,Action / Dexterity|Dice|Party Game,2972,7.16487,6.75547,2791,1|4|21,5|25|5,10|26|2,33|6|0,10|11|9,0|3|1|5|5|2|0|0|0,16|0|0|0|0,0,1
544,160851,lanterns-harvest-festival,Hand Management|Pattern Building|Set Collection|Tile Placement,Asian Theme|Country: China|Crowdfunding: Kickstarter|Games by the Game Artisans of Canada|Mensa Select,"",4705,7.05186,6.75511,8236,0|1|21,12|21|3,11|24|0,26|10|1,0|0|18,0|0|0|1|6|7|0|0|0,10|0|0|0|0,0,1
545,38054,snow-tails,Hand Management|Modular Board|Player Elimination,Admin: Better Description Needed!|Animals: Dogs|Arctic Theme|Sports: Winter Sports,Animals|Racing|Sports,4901,6.99733,6.75413,5144,0|3|34,2|30|20,5|47|8,18|44|1,NA,0|0|0|0|0|6|12|2|1,35|0|0|0|0,0,2
546,551,battle-cry,Dice Rolling|Hand Management|Modular Board,Commands & Colors,American Civil War|Wargame,3205,7.16643,6.75273,3899,0|10|22,42|5|0,NA,NA,NA,0|0|0|0|2|10|8|0|0,1|5|11|1|0,0,2
547,161866,zombicide-season-3-rue-morgue,Action Point Allowance System|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Partnerships|Variable Player Powers,Crowdfunding: Kickstarter|Solitaire Games|Zombicide,Horror|Miniatures|Zombies,1426,7.75061,6.75218,4414,0|7|4,2|7|1,10|0|1,1|8|2,NA,0|0|0|0|0|1|1|0|2,0|3|0|0|0,0,2
548,27588,zooloretto,Set Collection|Tile Placement,Animals: Apes / Monkeys|Animals: Camels|Animals: Elephants|Animals: Kangaroos|Animals: Pandas|Animals: Zebras|Coloretto Series,Animals,11813,6.8783,6.75169,14455,0|1|91,4|60|66,25|112|6,99|50|0,NA,0|1|5|12|52|23|5|2|0,52|9|0|0|0,0,1
549,50768,ninjato,Card Drafting|Press Your Luck|Set Collection|Worker Placement,Asian Theme|Country: Japan|Ninja,Fighting|Medieval|Political,2311,7.27438,6.74752,2593,0|0|28,4|19|14,9|27|4,32|9|1,1|0|23,0|0|0|0|0|2|7|3|2,17|0|0|0|0,0,2
