rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
1,161936,pandemic-legacy-season-1,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Campaign Games|Legacy|Pandemic,Environmental|Medical,18405,8.66891,8.49036,30155,8|47|148,53|159|37,55|163|20,181|83|8,6|2|151,1|0|0|0|1|9|22|34|14,1|0|8|50|14,0,2
2,182028,through-ages-new-story-civilization,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,Card Game|Civilization|Economic,7532,8.72275,8.30724,10329,4|5|94,55|108|11,138|38|3,20|99|43,0|0|95,0|0|0|0|0|0|0|6|26,0|0|6|30|3,0,4
3,12333,twilight-struggle,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Simultaneous Action Selection,Country: Russia|Country: USA,Modern Warfare|Political|Wargame,27616,8.35692,8.22021,37727,7|19|376,541|40|4,NA,NA,NA,1|0|0|0|1|1|6|49|130,1|2|13|228|39,0,3
4,174430,gloomhaven,Action / Movement Programming|Campaign / Battle Card Driven|Co-operative Play|Grid Movement|Hand Management|Modular Board|Simultaneous Action Selection|Storytelling|Variable Player Powers,Campaign Games|Crowdfunding: Kickstarter|Legacy|Solitaire Games,Adventure|Economic|Exploration|Fantasy|Fighting|Miniatures,4159,9.08027,8.16078,6318,23|65|22,35|87|5,74|53|2,59|56|5,0|4|70,0|0|0|0|0|1|7|12|21,0|0|1|9|1,0,3
5,187645,star-wars-rebellion,Area Control / Area Influence|Area Movement|Dice Rolling|Hand Management,Components: Miniatures|Fantasy Flight Big Box|Star Wars,Dice|Fighting|Movies / TV / Radio theme|Science Fiction|Wargame,8908,8.5297,8.15356,14627,1|1|104,159|12|1,1|33|83,10|65|58,0|1|91,0|0|0|0|0|5|10|15|22,0|0|4|19|0,0,3
6,120677,terra-mystica,Route/Network Building|Variable Phase Order|Variable Player Powers,Tableau Building|Terra Mystica,Civilization|Economic|Fantasy|Territory Building,24532,8.29422,8.15262,28227,0|11|341,16|246|208,84|374|42,420|126|2,NA,0|0|0|0|2|5|13|53|58,156|8|0|0|0,0,3
7,169786,scythe,Area Control / Area Influence|Grid Movement|Variable Player Powers,Alternate History|Components: Miniatures|Crowdfunding: Kickstarter|Scythe|Solitaire Games|Tableau Building,Civilization|Economic|Fighting|Science Fiction|Territory Building,16947,8.32178,8.08557,22771,15|125|53,15|158|60,66|159|15,168|79|3,NA,1|0|0|0|2|4|13|28|19,0|4|15|0|0,0,3
8,167791,terraforming-mars,Card Drafting|Hand Management|Tile Placement|Variable Player Powers,Mars|Solitaire Games|Tableau Building,Economic|Environmental|Industry / Manufacturing|Science Fiction|Territory Building,10607,8.38672,8.08324,12541,39|125|17,49|147|16,145|77|3,112|99|7,NA,0|0|0|0|0|1|20|17|7,0|3|13|5|1,0,3
9,173346,7-wonders-duel,Card Drafting|Set Collection,7 Wonders|7 Wonders Duel|Tableau Building,Ancient|Card Game|City Building|Civilization,21729,8.1856,8.02175,34287,0|8|166,219|9|2,NA,NA,NA,0|0|0|1|2|13|43|18|3,40|4|0|0|0,0,2
10,102794,caverna-cave-farmers,Tile Placement|Worker Placement,Animals: Sheep|Harvest Series|Mining|Solitaire Games,Animals|Economic|Fantasy|Farming,17386,8.17683,8.00532,22081,6|107|66,45|154|31,103|137|8,162|81|4,NA,0|0|0|0|3|3|10|34|20,0|19|37|2|1,0,3
11,84876,castles-burgundy,Dice Rolling|Set Collection|Tile Placement|Variable Phase Order,Alea Big Box|Country: France|Tableau Building,Dice|Medieval|Territory Building,25712,8.11249,7.99626,35496,4|22|325,432|199|19,200|360|14,116|283|154,0|3|295,0|0|0|0|2|12|26|53|17,111|10|1|0|0,0,3
12,3076,puerto-rico,Variable Phase Order,Alea Big Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,City Building|Economic|Farming,48517,8.08621,7.97879,55353,5|7|634,67|381|393,270|716|50,784|315|4,NA,1|0|0|1|1|12|64|103|58,9|109|171|18|1,0,3
13,115746,war-ring-second-edition,Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Monsters|Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Miniatures|Novel-based|Territory Building,6571,8.38303,7.96396,10579,1|8|65,124|9|1,4|23|61,8|46|42,0|0|63,0|0|0|0|0|0|3|11|19,1|0|4|38|4,0,3
14,31260,agricola,Card Drafting|Hand Management|Variable Player Powers|Worker Placement,Agricola|Animals: Cattle|Animals: Horses|Animals: Pigs|Animals: Sheep|Harvest Series|Solitaire Games|Tableau Building,Animals|Economic|Farming,48979,8.05286,7.95898,58931,63|693|314,299|879|141,803|555|24,932|442|25,NA,2|0|0|2|9|48|120|181|108,1|10|56|501|96,0,3
15,96848,mage-knight-board-game,Card Drafting|Co-operative Play|Deck / Pool Building|Dice Rolling|Grid Movement|Hand Management|Modular Board|Role Playing|Tile Placement|Variable Player Powers,Clix|Components: Miniatures|Mage Knight Universe|Solitaire Games,Adventure|Exploration|Fantasy|Fighting,18626,8.13562,7.93798,27857,420|250|19,397|283|7,135|360|121,27|140|388,4|12|435,1|0|0|0|0|0|12|39|89,0|3|26|154|7,0,4
16,170216,blood-rage,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Components: Miniatures|Crowdfunding: Kickstarter|Vikings,Fantasy|Fighting|Miniatures|Mythology,14461,8.1456,7.92181,19036,0|1|168,4|77|129,38|185|20,226|33|5,34|57|60,0|0|0|0|0|5|14|21|5,0|1|29|3|1,0,2
17,25613,through-ages-story-civilization,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,City Building|Civilization|Economic,15460,8.08176,7.92056,15924,5|30|282,158|347|44,416|159|13,120|249|168,2|3|271,0|0|0|0|0|3|5|31|79,0|4|34|142|19,0,4
18,193738,great-western-trail,Deck / Pool Building|Hand Management|Point to Point Movement|Tile Placement,Stronghold Games: The Great Designer Series,American West,6187,8.29382,7.89493,8425,0|5|72,25|100|8,96|40|1,41|67|18,0|0|62,0|0|0|0|0|0|4|15|8,10|0|0|0|0,0,3
19,164153,star-wars-imperial-assault,Dice Rolling|Grid Movement|Modular Board|Partnerships|Role Playing|Variable Player Powers,Campaign Games|Fantasy Flight Big Box|Star Wars|Star Wars: Imperial Assault,Adventure|Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,11529,8.19307,7.88965,20217,2|9|132,118|59|18,46|105|24,26|109|39,NA,0|0|1|0|2|12|14|29|9,0|1|8|48|10,0,3
20,205059,mansions-madness-second-edition,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Partnerships|Pick-up and Deliver|Role Playing|Variable Player Powers,Arkham Horror|Cthulhu Mythos,Adventure|Exploration|Fantasy|Fighting|Horror|Miniatures|Murder/Mystery|Puzzle,7073,8.30312,7.86475,12109,11|51|10,21|51|8,50|28|2,50|22|7,NA,0|0|0|0|1|0|5|14|4,0|0|0|9|3,0,2
21,209010,mechs-vs-minions,Action / Movement Programming|Card Drafting|Co-operative Play|Dice Rolling|Modular Board|Variable Player Powers,Campaign Games|Components: Miniatures,Fantasy|Fighting|Miniatures|Video Game Theme,5479,8.36252,7.8612,9600,0|12|52,24|40|13,16|50|3,60|20|1,0|0|43,1|0|0|0|4|5|10|7|3,0|0|4|1|0,0,2
22,2651,power-grid,Auction/Bidding|Route/Network Building,Country: Germany|Country: USA|Power Grid,Economic|Industry / Manufacturing,42647,7.94058,7.86004,48877,0|9|529,12|190|525,84|581|125,610|267|5,NA,0|0|0|0|0|9|44|101|43,284|18|0|0|0,0,3
23,205637,arkham-horror-card-game,Action Point Allowance System|Co-operative Play|Deck / Pool Building|Hand Management|Role Playing|Variable Player Powers,Arkham Horror|Arkham Horror: The Card Game LCG|Campaign Games|Cthulhu Mythos|Living Card Game|Solitaire Games,Adventure|Card Game|Collectible Components|Fantasy|Horror|Novel-based,5959,8.39581,7.85799,12403,46|88|8,114|42|3,16|59|27,4|38|18,0|0|55,0|0|0|0|0|0|6|14|14,0|0|0|11|0,0,3
24,72125,eclipse,Area Control / Area Influence|Dice Rolling|Grid Movement|Modular Board|Player Elimination|Tile Placement|Variable Phase Order|Variable Player Powers,4X games|Eclipse,Civilization|Fighting|Science Fiction|Space Exploration|Wargame,20629,8.00815,7.85176,22639,2|15|272,30|229|145,73|307|45,365|108|6,NA,1|0|0|0|1|6|19|59|57,129|56|6|0|2,0,3
25,121921,robinson-crusoe-adventures-cursed-island,Action / Movement Programming|Co-operative Play|Dice Rolling|Modular Board|Simultaneous Action Selection|Storytelling|Tile Placement|Variable Player Powers|Worker Placement,Robinson Crusoe: Adventure on the Cursed Island|Solitaire Games,Adventure|Exploration|Fighting|Novel-based,18619,8.01051,7.83641,27621,120|194|22,115|220|7,167|149|10,80|198|31,1|7|176,0|0|0|0|2|18|26|42|20,0|3|7|108|18,0,3
26,175914,food-chain-magnate,Deck / Pool Building|Modular Board|Route/Network Building|Simultaneous Action Selection,Food / Cooking,Economic|Industry / Manufacturing,5346,8.28764,7.83165,6899,0|0|62,13|63|14,59|33|4,57|28|3,NA,0|0|0|0|0|0|3|4|15,0|13|10|0|0,0,4
27,164928,orleans,Deck / Pool Building|Point to Point Movement|Worker Placement,Cities: Orléans (France)|Country: France|Orléans,Medieval|Religious|Travel,8974,8.08038,7.81594,10900,0|7|52,17|59|17,27|54|4,66|15|9,7|11|34,0|0|0|0|0|2|6|14|1,22|2|0|0|0,0,3
28,28720,brass-lancashire,Hand Management|Route/Network Building,Cities: Manchester|Country: England,Economic|Industry / Manufacturing|Transportation,10819,8.01184,7.81267,11405,0|1|143,31|98|82,137|152|8,228|70|4,0|0|121,0|0|0|0|0|0|2|18|29,81|9|1|0|0,0,3
29,124742,android-netrunner,Action Point Allowance System|Hand Management|Secret Unit Deployment|Variable Player Powers,Android|Android: Netrunner LCG|CCGs (Collectible Card Games)|Cyberpunk|Hackers|Living Card Game,Bluffing|Card Game|Collectible Components|Science Fiction,20649,7.99185,7.812,32430,2|5|228,306|20|2,NA,NA,NA,1|0|0|0|0|1|20|75|57,1|0|7|160|16,0,3
30,35677,le-havre,Worker Placement,Country: France|Harvest Series|Le Havre|Solitaire Games,City Building|Economic|Industry / Manufacturing|Nautical,19229,7.93043,7.80731,20351,9|184|111,138|278|30,370|116|5,96|235|91,NA,0|0|0|0|1|2|12|52|26,1|30|66|12|1,0,3
31,126163,tzolk-mayan-calendar,Set Collection|Worker Placement,Country: Guatemala|Country: Mexico|Tropical theme,Ancient|Civilization|Economic|Farming|Mythology,18262,7.94164,7.79527,20673,0|7|144,45|168|24,69|154|7,182|57|9,0|4|106,0|0|0|0|0|0|3|29|15,79|1|1|0|0,0,3
32,178900,codenames,Memory|Partnerships|Pattern Recognition|Press Your Luck,Codenames,Card Game|Deduction|Party Game|Spies/Secret Agents|Word Game,31321,7.8866,7.78444,49683,0|1|316,7|89|256,2|81|258,149|230|40,NA,0|0|0|0|3|21|32|22|9,1|0|8|21|71,0,1
33,183394,viticulture-essential-edition,Hand Management|Variable Phase Order|Worker Placement,Solitaire Games|Viticulture|Wine Games,Economic|Farming,5928,8.17845,7.7822,9085,4|44|6,14|46|3,37|18|0,41|20|0,NA,0|0|0|0|0|1|6|11|3,0|0|10|0|0,0,2
34,146508,time-stories,Co-operative Play|Dice Rolling|Role Playing|Storytelling|Time Track|Variable Player Powers|Voting,T.I.M.E Stories|Time Travel,Adventure|Mature / Adult|Medieval|Science Fiction,10990,8.02253,7.77441,17643,1|17|90,9|47|68,15|90|9,127|28|2,1|6|63,0|0|0|0|0|0|2|13|20,1|0|1|13|38,0,2
35,124361,concordia,Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement,Ancient Rome|Concordia,Ancient|Economic|Nautical,10423,7.98609,7.7675,11099,0|1|81,14|106|23,54|97|1,104|51|2,NA,1|0|0|0|0|0|4|19|6,0|15|28|1|0,0,3
36,122515,keyflower,Auction/Bidding|Memory|Modular Board|Pick-up and Deliver|Route/Network Building|Set Collection|Tile Placement|Worker Placement,Colonial Theme|Crowdfunding: Kickstarter|Key-series|Keyflower|Quined Master Print Edition Series,City Building|Economic|Nautical|Renaissance|Territory Building,12101,7.93373,7.74796,14661,0|4|94,35|132|27,76|109|2,128|63|2,NA,0|0|0|0|0|1|6|17|8,57|4|0|0|0,0,3
37,68448,7-wonders,Card Drafting|Hand Management|Set Collection|Simultaneous Action Selection|Variable Player Powers,7 Wonders|Tableau Building,Ancient|Card Game|City Building|Civilization,52949,7.83111,7.7446,68296,2|10|778,105|292|616,312|737|118,739|483|27,NA,0|0|1|0|10|83|121|82|18,280|82|4|1|0,0,2
38,177736,feast-odin,Area Enclosure|Dice Rolling|Pattern Building|Press Your Luck|Tile Placement|Worker Placement,Admin: Better Description Needed!|Polyominoes|Solitaire Games|Vikings,Economic|Industry / Manufacturing|Medieval|Puzzle,4350,8.27132,7.72583,5975,18|73|10,52|58|4,45|49|4,18|49|21,0|0|55,0|0|0|0|0|1|5|8|4,0|0|8|0|0,0,3
39,171623,voyages-marco-polo,Card Drafting|Dice Rolling|Point to Point Movement|Set Collection|Variable Player Powers|Worker Placement,Animals: Camels|Cities: Beijing|Cities: Hormuz|Cities: Venice,Dice|Economic|Medieval|Travel,9427,7.97632,7.72483,10560,1|7|81,22|123|12,57|91|0,99|49|5,0|2|58,0|0|0|0|0|1|13|19|2,47|4|0|0|0,0,3
40,18602,caylus,Worker Placement,Caylus|Country: France|Ystari originals,City Building|Economic|Medieval,22017,7.85661,7.72209,22176,0|11|294,141|290|88,346|202|9,251|260|22,NA,0|0|0|0|0|3|10|48|43,170|4|1|0|0,0,3
41,12493,twilight-imperium-third-edition,Action Point Allowance System|Area-Impulse|Dice Rolling|Hex-and-Counter|Modular Board|Trading|Variable Phase Order|Variable Player Powers|Voting,4X games|Components: Miniatures|Fantasy Flight Big Box|Twilight Imperium,Civilization|Negotiation|Political|Science Fiction|Space Exploration|Wargame,15270,7.9249,7.70571,17684,1|0|247,1|20|248,17|137|173,104|230|43,NA,0|0|0|0|0|0|5|32|58,0|0|11|146|17,0,4
42,146021,eldritch-horror,Co-operative Play|Dice Rolling|Point to Point Movement|Variable Player Powers,Arkham Horror|Cthulhu Mythos|Eldritch Horror|Solitaire Games,Adventure|Fantasy|Fighting|Horror|Novel-based,16802,7.93802,7.70343,25357,34|189|84,83|228|36,89|208|24,279|89|3,NA,0|0|0|0|0|2|12|30|52,0|0|3|96|20,0,3
43,150376,dead-winter-crossroads-game,Action Point Allowance System|Area Movement|Co-operative Play|Dice Rolling|Hand Management|Storytelling|Trading|Variable Player Powers|Voting,Crossroads Series,Bluffing|Horror|Zombies,23748,7.84671,7.70069,32998,1|9|223,7|81|176,43|248|14,262|93|2,NA,0|0|0|0|0|2|16|38|39,0|1|6|86|20,0,3
44,163412,patchwork,Tile Placement|Time Track,Combinatorial|Lookout Games Fur Zwei Spieler Series|Polyominoes,Abstract Strategy|Puzzle,19677,7.82248,7.69186,29289,0|6|109,142|5|0,NA,NA,NA,0|0|4|3|35|35|3|1|0,58|1|0|0|0,0,1
45,62219,dominant-species,Area Control / Area Influence|Card Drafting|Grid Movement|Modular Board|Tile Placement|Variable Player Powers|Worker Placement,4X games|Evolution,Animals|Environmental|Prehistoric,13127,7.85937,7.68345,13886,2|4|185,21|105|126,61|190|29,214|106|4,NA,0|0|0|0|0|1|1|14|39,2|21|41|3|0,0,4
46,28143,race-galaxy,Hand Management|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Race for the Galaxy|Tableau Building,Card Game|Civilization|Economic|Science Fiction|Space Exploration,34804,7.77194,7.68344,41553,9|83|348,553|230|29,274|438|30,366|319|45,13|78|298,1|0|0|0|0|7|36|80|43,11|166|88|5|1,0,2
47,157354,five-tribes,Area Control / Area Influence|Auction/Bidding|Modular Board|Set Collection|Variable Phase Order,Animals: Camels|Country: Saudi Arabia,Arabian|Fantasy|Mythology,17993,7.82844,7.68304,23826,1|29|160,160|134|35,124|174|5,116|147|40,3|3|152,0|0|0|0|0|3|23|23|10,52|15|3|0|0,0,2
48,110327,lords-waterdeep,Set Collection|Take That|Worker Placement,Dungeons & Dragons|From RPG books to board games,City Building|Fantasy,29720,7.79483,7.68184,36333,1|8|241,59|253|86,242|174|5,259|142|8,NA,0|0|1|0|1|19|46|31|5,0|8|69|16|0,0,2
49,132531,roll-galaxy,Deck / Pool Building|Dice Rolling|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Crowdfunding: Wspieram|Race for the Galaxy|Tableau Building,Civilization|Dice|Economic|Science Fiction|Space Exploration,14923,7.84292,7.67966,19548,1|15|105,18|121|27,98|64|2,87|59|2,NA,1|0|0|0|0|4|13|14|10,0|14|30|3|2,0,2
50,93,el-grande,Area Control / Area Influence|Area Movement|Auction/Bidding|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Country: Spain|El Grande,Renaissance,18658,7.80256,7.67354,18010,2|1|241,3|45|275,19|167|148,139|239|9,NA,0|0|0|0|0|6|25|31|11,3|20|77|12|0,0,3
51,40834,dominion-intrigue,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Wspieram|Dominion,Card Game|Medieval,23461,7.7895,7.66602,33093,1|1|147,82|138|11,156|78|2,102|110|17,7|59|105,0|2|0|0|3|17|27|16|3,0|6|43|25|4,0,2
52,103885,star-wars-x-wing-miniatures-game,Action / Movement Programming|Dice Rolling|Player Elimination|Simultaneous Action Selection|Variable Player Powers,FlightPath|Star Wars|Star Wars: X-Wing Miniatures Game,Aviation / Flight|Bluffing|Collectible Components|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,17173,7.87014,7.65954,29343,3|15|189,255|28|0,NA,NA,NA,0|0|0|4|6|32|54|27|5,2|14|70|5|1,0,2
53,159675,fields-arle,Worker Placement,Admin: Better Description Needed!|Country: Germany|Crowdfunding: Wspieram|Harvest Series|Solitaire Games,Economic|Farming|Industry / Manufacturing,3681,8.21504,7.64165,6225,18|39|7,56|13|0,NA,NA,NA,0|0|0|0|0|0|2|9|9,0|16|7|1|0,0,3
54,37111,battlestar-galactica,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Partnerships|Role Playing|Variable Player Powers,Battlestar Galactica,Bluffing|Deduction|Movies / TV / Radio theme|Political|Science Fiction|Space Exploration|Spies/Secret Agents,25715,7.77175,7.63552,28619,1|13|493,2|12|501,15|145|443,50|475|165,NA,0|0|0|0|1|1|6|66|94,0|4|29|210|28,0,3
55,36218,dominion,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Wspieram|Dominion|Mensa Select,Card Game|Medieval,56923,7.69523,7.60368,73313,5|24|785,491|695|74,720|545|12,481|673|93,19|158|617,1|0|1|1|19|116|144|74|13,1|73|220|102|16,0,2
56,172386,mombasa,Action / Movement Programming|Area Control / Area Influence|Card Drafting|Deck / Pool Building|Hand Management|Simultaneous Action Selection|Stock Holding|Variable Player Powers|Worker Placement,Admin: Better Description Needed!|Colonial Theme|Continent: Africa|Tableau Building,Economic,5221,8.00608,7.60218,7063,0|1|47,5|58|29,17|65|4,71|21|3,0|0|40,0|0|0|0|0|0|3|11|8,24|1|0|0|0,0,3
57,2511,sherlock-holmes-consulting-detective-thames-murder,Co-operative Play|Storytelling,Characters: Sherlock Holmes|Cities: London|Country: England|Mystery Novels|Solitaire Games,Deduction|Murder/Mystery|Novel-based|Post-Napoleonic|Spies/Secret Agents,9308,7.84516,7.60207,18589,61|59|13,84|45|6,41|68|6,29|67|18,NA,0|0|0|0|0|0|0|15|8,0|0|0|6|67,0,2
58,144733,russian-railroads,Worker Placement,Admin: Better Description Needed!|Country: Russia,Industry / Manufacturing|Trains,9185,7.82558,7.59614,9995,0|4|61,27|80|8,46|63|6,87|34|1,1|0|59,0|0|0|0|0|1|3|13|13,49|0|0|0|0,0,3
59,102680,trajan,Area Movement|Card Drafting|Hand Management|Set Collection,Ancient Rome|Quined Master Print Edition Series,Ancient|Political,9899,7.81342,7.59482,11707,0|3|64,39|89|14,49|84|2,83|42|7,1|0|49,0|0|0|0|0|0|4|13|10,50|1|0|0|1,0,3
60,42,tigris-euphrates,Area Control / Area Influence|Hand Management|Set Collection|Tile Placement,Desert Theme|Knizia tile-laying trilogy|Middle Eastern Theme|Rivers: Euphrates|Rivers: Tigris|Tigris & Euphrates,Abstract Strategy|Ancient|Civilization|Territory Building,20380,7.72006,7.59102,22278,1|1|248,51|201|126,146|251|17,294|111|16,1|5|189,0|0|0|0|1|4|14|45|16,124|3|1|0|0,0,3
61,194655,santorini,Grid Movement|Tile Placement|Variable Player Powers,3D Games|5x5 grid|Country: Greece|Crowdfunding: Kickstarter|Games by the Game Artisans of Canada|Islands: Santorini,Abstract Strategy|Ancient|Mythology,5224,8.03583,7.58463,8636,0|1|46,65|10|1,11|26|20,4|25|20,0|0|44,0|0|0|4|8|4|3|0|0,8|3|0|0|0,0,1
62,30549,pandemic,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Pandemic,Medical,63949,7.67047,7.58297,91524,83|409|356,220|676|98,340|621|23,707|293|29,17|109|450,0|0|0|2|19|105|133|72|13,10|243|39|3|1,0,2
63,73439,troyes,Area Control / Area Influence|Dice Rolling|Worker Placement,Cities: Troyes (France)|Country: France,Dice|Economic|Medieval,11524,7.75921,7.57914,12217,1|14|118,70|158|22,172|84|2,53|138|39,0|0|114,0|0|0|0|0|0|2|25|21,70|12|2|1|0,0,3
64,104162,descent-journeys-dark-second-edition,Action Point Allowance System|Dice Rolling|Grid Movement|Hand Management|Modular Board|Partnerships|Variable Player Powers,Campaign Games|Components: Miniatures|Descent|Monsters|The Realms of Terrinoth,Adventure|Exploration|Fantasy|Fighting|Miniatures,14964,7.79432,7.57029,23921,7|21|178,29|133|72,40|179|20,104|135|11,NA,0|0|0|0|1|12|40|37|14,0|1|9|79|1,0,3
65,521,crokinole,Partnerships,Admin: Better Description Needed!|Crokinole|Finger Flicking Games,Action / Dexterity,7802,7.80493,7.56919,5638,0|10|86,90|42|1,0|31|73,102|29|4,0|2|88,0|0|1|1|26|7|0|0|0,49|0|0|0|1,0,1
66,155426,castles-mad-king-ludwig,Card Drafting|Pattern Building|Set Collection|Tile Placement,Country: Germany|Crowdfunding: Wspieram|Mensa Select,Post-Napoleonic,13686,7.72968,7.56692,18464,2|30|78,33|84|40,69|88|1,107|52|3,2|0|64,0|0|0|0|1|6|16|9|4,8|32|3|1|0,0,2
67,9609,war-ring-first-edition,Action Point Allowance System|Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Novel-based|Territory Building|Wargame,8965,7.81127,7.55373,11473,1|9|133,269|28|4,4|53|129,11|88|94,0|0|132,2|0|0|0|0|2|9|25|35,1|0|8|71|13,0,3
68,128882,resistance-avalon,Memory|Partnerships|Simultaneous Action Selection|Variable Player Powers|Voting,Crowdfunding: Kickstarter|The Legend of King Arthur and the Knights of the Round Table|Postcard Box Games|Werewolf / Mafia,Bluffing|Card Game|Deduction|Fantasy|Medieval|Negotiation|Party Game,16433,7.71372,7.54467,23176,1|0|139,0|0|139,0|0|139,1|1|138,NA,0|0|0|0|2|3|11|21|10,15|34|0|0|0,0,1
69,155068,arcadia-quest,Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,Anime & Manga|Arcadia Quest|Campaign Games|Crowdfunding: Kickstarter,Adventure|Fantasy|Fighting|Miniatures,5233,7.99491,7.54338,8927,1|3|63,6|57|21,18|59|12,87|14|2,0|2|43,0|0|0|1|1|14|15|6|0,0|7|14|0|0,0,2
70,127023,kemet,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management,Country: Egypt|Desert Theme|Monsters,Ancient|Fighting|Miniatures|Mythology,9540,7.77637,7.54157,11673,0|0|81,5|51|64,28|89|5,71|56|2,NA,0|0|0|0|0|5|6|15|5,26|11|0|0|0,0,2
71,103343,game-thrones-board-game-second-edition,Area Control / Area Influence|Area Movement|Auction/Bidding|Hand Management|Player Elimination|Simultaneous Action Selection|Variable Player Powers,A Game of Thrones: The Board Game|A Song of Ice and Fire,Bluffing|Fantasy|Negotiation|Novel-based|Political|Wargame,18198,7.73085,7.53788,23606,3|1|355,1|5|361,24|137|314,20|255|209,NA,1|0|0|0|0|1|4|23|62,0|85|49|4|1,0,3
72,34635,stone-age,Dice Rolling|Set Collection|Worker Placement,Stone Age,Dice|Prehistoric,31051,7.63121,7.53719,32481,1|12|324,133|332|89,167|381|17,423|164|22,4|7|254,0|0|1|1|7|54|84|33|2,223|4|0|0|0,0,2
73,161970,alchemists,Action Point Allowance System|Card Drafting|Hand Management|Worker Placement,"",Deduction|Fantasy,10193,7.76656,7.53283,13621,0|4|87,31|95|19,68|80|2,90|53|7,0|2|70,0|0|0|0|0|4|8|21|18,0|18|24|2|0,0,3
74,125153,gallerist,Commodity Speculation|Set Collection|Worker Placement,Crowdfunding: Giochistarter|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede|Solitaire Games|Visual Arts: Painting,Economic,3839,8.04915,7.52524,5870,0|38|16,16|43|11,22|42|3,48|18|6,0|0|36,0|0|0|0|0|1|0|10|7,19|0|0|0|0,0,4
75,70149,ora-et-labora,Modular Board|Pattern Building|Set Collection|Tile Placement|Worker Placement,Beer|Country: France|Country: Ireland|Harvest Series|Solitaire Games|Tableau Building|Wine Games,City Building|Economic|Industry / Manufacturing|Medieval|Religious|Territory Building,7608,7.78067,7.52041,9515,5|44|32,31|70|16,91|34|2,19|65|24,0|0|57,0|0|0|0|0|1|1|17|7,0|29|11|0|0,0,3
76,146652,legendary-encounters-alien-deck-building-game,Card Drafting|Co-operative Play|Deck / Pool Building|Partnerships|Player Elimination|Variable Player Powers,Aliens|Legendary|Solitaire Games,Card Game|Fighting|Horror|Movies / TV / Radio theme|Science Fiction,6675,7.85947,7.52024,9943,18|77|15,25|80|7,74|39|2,41|61|6,NA,0|0|0|0|0|1|11|13|21,0|3|26|16|0,0,2
77,201808,clank-deck-building-adventure,Deck / Pool Building|Player Elimination|Point to Point Movement|Press Your Luck,Animals: Dragons,Adventure|Fantasy,4380,8.04105,7.50495,6627,0|21|29,10|47|13,54|27|0,34|30|7,0|0|33,0|0|0|0|2|3|6|2|0,0|1|3|0|0,0,2
78,126042,nations,Card Drafting|Variable Player Powers,Nations|Solitaire Games|Tableau Building,Card Game|Civilization|Economic,8319,7.7497,7.50281,9276,4|61|35,16|90|26,91|56|2,72|70|5,NA,0|0|0|0|0|1|2|10|18,1|7|27|6|0,0,3
79,123260,suburbia,Card Drafting|Set Collection|Tile Placement,Mensa Select|Solitaire Games|Suburbia,City Building|Economic,15157,7.6405,7.50104,18333,7|76|60,69|137|8,120|76|3,66|101|28,0|1|99,0|0|0|0|1|8|21|13|3,0|18|44|4|0,0,2
80,147020,star-realms,Card Drafting|Deck / Pool Building|Player Elimination|Take That,Crowdfunding: Kickstarter|Star Realms,Card Game|Fighting|Science Fiction,19366,7.64277,7.49939,29446,2|23|95,181|12|1,NA,NA,NA,0|0|0|2|2|39|21|1|0,0|42|24|2|0,0,1
81,14105,commands-colors-ancients,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Hex-and-Counter|Modular Board,Ancient Rome|Commands & Colors|Commands & Colors: Ancients Series|Country: Greece,Ancient|Wargame,6864,7.79555,7.49511,8806,2|31|54,117|8|0,NA,NA,NA,1|0|0|0|1|4|19|26|6,2|5|31|6|2,0,2
