rank,ID,name,mechanics,families,categories,n.ratings,rating
35,124361,concordia,Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement,Ancient Rome|Concordia,Ancient|Economic|Nautical,10394,7.98567
36,122515,keyflower,Auction/Bidding|Memory|Modular Board|Pick-up and Deliver|Route/Network Building|Set Collection|Tile Placement|Worker Placement,Colonial Theme|Crowdfunding: Kickstarter|Key-series|Keyflower|Quined Master Print Edition Series,City Building|Economic|Nautical|Renaissance|Territory Building,12081,7.93352
37,68448,7-wonders,Card Drafting|Hand Management|Set Collection|Simultaneous Action Selection|Variable Player Powers,7 Wonders|Tableau Building,Ancient|Card Game|City Building|Civilization,52872,7.83148
38,171623,voyages-marco-polo,Card Drafting|Dice Rolling|Point to Point Movement|Set Collection|Variable Player Powers|Worker Placement,Animals: Camels|Cities: Beijing|Cities: Hormuz|Cities: Venice,Dice|Economic|Medieval|Travel,9401,7.97752
39,177736,feast-odin,Area Enclosure|Dice Rolling|Pattern Building|Press Your Luck|Tile Placement|Worker Placement,Admin: Better Description Needed!|Polyominoes|Solitaire Games|Vikings,Economic|Industry / Manufacturing|Medieval|Puzzle,4309,8.27086
40,18602,caylus,Worker Placement,Caylus|Country: France|Ystari originals,City Building|Economic|Medieval,22002,7.85698
41,12493,twilight-imperium-third-edition,Action Point Allowance System|Area-Impulse|Dice Rolling|Hex-and-Counter|Modular Board|Trading|Variable Phase Order|Variable Player Powers|Voting,4X games|Components: Miniatures|Fantasy Flight Big Box|Twilight Imperium,Civilization|Negotiation|Political|Science Fiction|Space Exploration|Wargame,15253,7.92419
42,146021,eldritch-horror,Co-operative Play|Dice Rolling|Point to Point Movement|Variable Player Powers,Arkham Horror|Cthulhu Mythos|Eldritch Horror|Solitaire Games,Adventure|Fantasy|Fighting|Horror|Novel-based,16755,7.93811
43,150376,dead-winter-crossroads-game,Action Point Allowance System|Area Movement|Co-operative Play|Dice Rolling|Hand Management|Storytelling|Trading|Variable Player Powers|Voting,Crossroads Series,Bluffing|Horror|Zombies,23711,7.84801
44,163412,patchwork,Tile Placement|Time Track,Combinatorial|Lookout Games Fur Zwei Spieler Series|Polyominoes,Abstract Strategy|Puzzle,19606,7.82326
45,28143,race-galaxy,Hand Management|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Race for the Galaxy|Tableau Building,Card Game|Civilization|Economic|Science Fiction|Space Exploration,34763,7.77232
46,62219,dominant-species,Area Control / Area Influence|Card Drafting|Grid Movement|Modular Board|Tile Placement|Variable Player Powers|Worker Placement,4X games|Evolution,Animals|Environmental|Prehistoric,13117,7.85948
