rank,ID,name,year,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,min_players,max_players,play_time,min_play_time,max_play_time,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
1,161936,pandemic-legacy-season-1,2015,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Campaign Games|Legacy|Pandemic,Environmental|Medical,18434,8.66949,8.49069,30196,2,4,60,60,60,8|47|148,53|159|37,55|163|20,181|83|8,6|2|151,1|0|0|0|1|9|22|34|14,1|0|8|50|14,0,2
2,182028,through-ages-new-story-civilization,2015,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,Card Game|Civilization|Economic,7546,8.72068,8.30639,10351,2,4,240,180,240,4|5|94,55|108|11,138|38|3,20|99|43,0|0|95,0|0|0|0|0|0|0|6|26,0|0|6|30|3,0,4
3,12333,twilight-struggle,2005,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Simultaneous Action Selection,Country: Russia|Country: USA,Modern Warfare|Political|Wargame,27637,8.35728,8.22042,37762,2,2,180,180,180,7|19|376,541|40|4,NA,NA,NA,1|0|0|0|1|1|6|49|130,1|2|13|228|39,0,3
4,174430,gloomhaven,2017,Action / Movement Programming|Campaign / Battle Card Driven|Co-operative Play|Grid Movement|Hand Management|Modular Board|Simultaneous Action Selection|Storytelling|Variable Player Powers,Campaign Games|Crowdfunding: Kickstarter|Legacy|Solitaire Games,Adventure|Economic|Exploration|Fantasy|Fighting|Miniatures,4170,9.07832,8.16077,6334,1,4,150,90,150,23|65|22,35|87|5,74|53|2,59|56|5,0|4|70,0|0|0|0|0|1|7|12|21,0|0|1|9|1,0,3
5,187645,star-wars-rebellion,2016,Area Control / Area Influence|Area Movement|Dice Rolling|Hand Management,Components: Miniatures|Fantasy Flight Big Box|Star Wars,Dice|Fighting|Movies / TV / Radio theme|Science Fiction|Wargame,8936,8.52933,8.15365,14654,2,4,240,180,240,1|1|104,159|12|1,1|33|83,10|65|58,0|1|91,0|0|0|0|0|5|10|15|22,0|0|4|19|0,0,3
6,120677,terra-mystica,2012,Route/Network Building|Variable Phase Order|Variable Player Powers,Tableau Building|Terra Mystica,Civilization|Economic|Fantasy|Territory Building,24558,8.29434,8.15264,28259,2,5,150,60,150,0|11|341,16|246|208,84|374|42,420|126|2,NA,0|0|0|0|2|5|13|53|58,156|8|0|0|0,0,3
7,169786,scythe,2016,Area Control / Area Influence|Grid Movement|Variable Player Powers,Alternate History|Components: Miniatures|Crowdfunding: Kickstarter|Scythe|Solitaire Games|Tableau Building,Civilization|Economic|Fighting|Science Fiction|Territory Building,17005,8.32158,8.08606,22859,1,5,115,90,115,15|125|53,15|158|60,66|159|15,168|79|3,NA,1|0|0|0|2|4|13|28|19,0|4|15|0|0,0,3
8,167791,terraforming-mars,2016,Card Drafting|Hand Management|Tile Placement|Variable Player Powers,Mars|Solitaire Games|Tableau Building,Economic|Environmental|Industry / Manufacturing|Science Fiction|Territory Building,10683,8.388,8.08505,12639,1,5,120,90,120,39|125|17,49|147|16,145|77|3,112|99|7,NA,0|0|0|0|0|1|20|17|7,0|3|13|5|1,0,3
9,173346,7-wonders-duel,2015,Card Drafting|Set Collection,7 Wonders|7 Wonders Duel|Tableau Building,Ancient|Card Game|City Building|Civilization,21791,8.1854,8.02162,34361,2,2,30,30,30,0|8|167,220|9|2,NA,NA,NA,0|0|0|1|2|13|43|18|3,40|4|0|0|0,0,2
10,102794,caverna-cave-farmers,2013,Tile Placement|Worker Placement,Animals: Sheep|Harvest Series|Mining|Solitaire Games,Animals|Economic|Fantasy|Farming,17402,8.1765,8.00503,22101,1,7,210,30,210,6|107|66,45|154|31,103|137|8,162|81|4,NA,0|0|0|0|3|3|10|34|20,0|19|37|2|1,0,3
11,84876,castles-burgundy,2011,Dice Rolling|Set Collection|Tile Placement|Variable Phase Order,Alea Big Box|Country: France|Tableau Building,Dice|Medieval|Territory Building,25743,8.11248,7.99617,35540,2,4,90,30,90,4|22|325,432|199|19,200|360|14,116|283|154,0|3|295,0|0|0|0|2|12|26|53|17,111|10|1|0|0,0,3
12,3076,puerto-rico,2002,Variable Phase Order,Alea Big Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,City Building|Economic|Farming,48539,8.0863,7.97871,55393,2,5,150,90,150,5|7|634,67|381|393,270|716|50,784|315|4,NA,1|0|0|1|1|12|64|103|58,9|109|171|18|1,0,3
13,115746,war-ring-second-edition,2012,Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Monsters|Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Miniatures|Novel-based|Territory Building,6575,8.38416,7.96529,10589,2,4,180,150,180,1|8|65,124|9|1,4|23|61,8|46|42,0|0|63,0|0|0|0|0|0|3|11|19,1|0|4|38|4,0,3
14,31260,agricola,2007,Card Drafting|Hand Management|Variable Player Powers|Worker Placement,Agricola|Animals: Cattle|Animals: Horses|Animals: Pigs|Animals: Sheep|Harvest Series|Solitaire Games|Tableau Building,Animals|Economic|Farming,49001,8.05266,7.95885,58961,1,5,150,30,150,63|693|314,299|879|141,803|555|24,932|442|25,NA,2|0|0|2|9|48|120|181|108,1|10|56|501|96,0,3
15,96848,mage-knight-board-game,2011,Card Drafting|Co-operative Play|Deck / Pool Building|Dice Rolling|Grid Movement|Hand Management|Modular Board|Role Playing|Tile Placement|Variable Player Powers,Clix|Components: Miniatures|Mage Knight Universe|Solitaire Games,Adventure|Exploration|Fantasy|Fighting,18632,8.13573,7.93815,27890,1,4,150,150,150,421|250|19,398|283|7,135|361|121,27|140|389,4|12|435,1|0|0|0|0|0|12|39|89,0|3|26|154|7,0,4
16,170216,blood-rage,2015,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Components: Miniatures|Crowdfunding: Kickstarter|Vikings,Fantasy|Fighting|Miniatures|Mythology,14502,8.14433,7.92029,19079,2,4,90,60,90,0|1|168,4|77|129,38|185|20,226|33|5,34|57|60,0|0|0|0|0|5|14|21|5,0|1|29|3|1,0,2
17,25613,through-ages-story-civilization,2006,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,City Building|Civilization|Economic,15463,8.08175,7.92017,15930,2,4,240,240,240,5|30|282,158|347|44,416|159|13,120|249|168,2|3|271,0|0|0|0|0|3|5|31|79,0|4|34|142|19,0,4
18,193738,great-western-trail,2016,Deck / Pool Building|Hand Management|Point to Point Movement|Tile Placement,Stronghold Games: The Great Designer Series,American West,6236,8.29497,7.89788,8480,2,4,150,75,150,0|5|72,25|100|8,96|40|1,41|67|18,0|0|62,0|0|0|0|0|0|4|15|8,10|0|0|0|0,0,3
19,164153,star-wars-imperial-assault,2014,Dice Rolling|Grid Movement|Modular Board|Partnerships|Role Playing|Variable Player Powers,Campaign Games|Fantasy Flight Big Box|Star Wars|Star Wars: Imperial Assault,Adventure|Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,11545,8.19381,7.89011,20233,2,5,120,60,120,2|9|133,118|59|18,46|106|24,26|109|39,NA,0|0|1|0|2|12|14|29|9,0|1|8|48|10,0,3
20,205059,mansions-madness-second-edition,2016,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Partnerships|Pick-up and Deliver|Role Playing|Variable Player Powers,Arkham Horror|Cthulhu Mythos,Adventure|Exploration|Fantasy|Fighting|Horror|Miniatures|Murder/Mystery|Puzzle,7102,8.30364,7.86512,12142,1,5,180,120,180,11|51|10,21|51|8,50|28|2,50|22|7,NA,0|0|0|0|1|0|5|14|4,0|0|0|9|3,0,2
21,209010,mechs-vs-minions,2016,Action / Movement Programming|Card Drafting|Co-operative Play|Dice Rolling|Modular Board|Variable Player Powers,Campaign Games|Components: Miniatures,Fantasy|Fighting|Miniatures|Video Game Theme,5508,8.35952,7.86115,9640,2,4,90,60,90,0|12|52,24|40|13,16|50|3,60|20|1,0|0|43,1|0|0|0|4|5|10|7|3,0|0|4|1|0,0,2
22,2651,power-grid,2004,Auction/Bidding|Route/Network Building,Country: Germany|Country: USA|Power Grid,Economic|Industry / Manufacturing,42671,7.94053,7.85994,48912,2,6,120,120,120,0|9|529,12|190|525,84|581|125,610|267|5,NA,0|0|0|0|0|9|44|101|43,284|18|0|0|0,0,3
23,205637,arkham-horror-card-game,2016,Action Point Allowance System|Co-operative Play|Deck / Pool Building|Hand Management|Role Playing|Variable Player Powers,Arkham Horror|Arkham Horror: The Card Game LCG|Campaign Games|Cthulhu Mythos|Living Card Game|Solitaire Games,Adventure|Card Game|Collectible Components|Fantasy|Horror|Novel-based,5985,8.39377,7.85846,12453,1,4,120,60,120,46|88|8,114|42|3,16|59|27,4|38|18,0|0|55,0|0|0|0|0|0|6|14|14,0|0|0|11|0,0,3
24,72125,eclipse,2011,Area Control / Area Influence|Dice Rolling|Grid Movement|Modular Board|Player Elimination|Tile Placement|Variable Phase Order|Variable Player Powers,4X games|Eclipse,Civilization|Fighting|Science Fiction|Space Exploration|Wargame,20638,8.00796,7.85149,22652,2,6,200,60,200,2|15|272,30|229|145,73|307|45,365|108|6,NA,1|0|0|0|1|6|19|59|57,129|56|6|0|2,0,3
25,121921,robinson-crusoe-adventures-cursed-island,2012,Action / Movement Programming|Co-operative Play|Dice Rolling|Modular Board|Simultaneous Action Selection|Storytelling|Tile Placement|Variable Player Powers|Worker Placement,Robinson Crusoe: Adventure on the Cursed Island|Solitaire Games,Adventure|Exploration|Fighting|Novel-based,18641,8.0101,7.83591,27640,1,4,180,90,180,120|194|22,115|220|7,167|149|10,80|198|31,1|7|176,0|0|0|0|2|18|26|42|20,0|3|7|108|18,0,3
26,175914,food-chain-magnate,2015,Deck / Pool Building|Modular Board|Route/Network Building|Simultaneous Action Selection,Food / Cooking,Economic|Industry / Manufacturing,5356,8.28706,7.83123,6904,2,5,240,120,240,0|0|62,13|63|14,59|33|4,57|28|3,NA,0|0|0|0|0|0|3|4|15,0|13|10|0|0,0,4
27,164928,orleans,2014,Deck / Pool Building|Point to Point Movement|Worker Placement,Cities: Orléans (France)|Country: France|Orléans,Medieval|Religious|Travel,8993,8.08074,7.81653,10924,2,4,90,90,90,0|7|52,17|59|17,27|54|4,66|15|9,7|11|34,0|0|0|0|0|2|6|14|1,22|2|0|0|0,0,3
28,28720,brass-lancashire,2007,Hand Management|Route/Network Building,Cities: Manchester|Country: England,Economic|Industry / Manufacturing|Transportation,10825,8.01122,7.81207,11414,2,4,180,120,180,0|1|143,31|98|82,137|152|8,228|70|4,0|0|121,0|0|0|0|0|0|2|18|29,81|9|1|0|0,0,3
29,124742,android-netrunner,2012,Action Point Allowance System|Hand Management|Secret Unit Deployment|Variable Player Powers,Android|Android: Netrunner LCG|CCGs (Collectible Card Games)|Cyberpunk|Hackers|Living Card Game,Bluffing|Card Game|Collectible Components|Science Fiction,20664,7.99097,7.81136,32441,2,2,45,45,45,2|5|229,307|20|2,NA,NA,NA,1|0|0|0|0|1|20|75|57,1|0|7|160|16,0,3
30,35677,le-havre,2008,Worker Placement,Country: France|Harvest Series|Le Havre|Solitaire Games,City Building|Economic|Industry / Manufacturing|Nautical,19239,7.93072,7.80765,20362,1,5,150,30,150,9|184|111,138|278|30,370|116|5,96|235|91,NA,0|0|0|0|1|2|12|52|26,1|30|66|12|1,0,3
31,126163,tzolk-mayan-calendar,2012,Set Collection|Worker Placement,Country: Guatemala|Country: Mexico|Tropical theme,Ancient|Civilization|Economic|Farming|Mythology,18275,7.94171,7.79564,20692,2,4,90,90,90,0|7|144,45|168|24,69|154|7,182|57|9,0|4|106,0|0|0|0|0|0|3|29|15,79|1|1|0|0,0,3
32,178900,codenames,2015,Memory|Partnerships|Pattern Recognition|Press Your Luck,Codenames,Card Game|Deduction|Party Game|Spies/Secret Agents|Word Game,31377,7.88637,7.78413,49760,2,8,15,15,15,0|1|317,7|89|256,2|81|258,150|230|40,NA,0|0|0|0|3|22|32|22|9,1|0|8|21|71,0,1
33,183394,viticulture-essential-edition,2015,Hand Management|Variable Phase Order|Worker Placement,Solitaire Games|Viticulture|Wine Games,Economic|Farming,5961,8.17777,7.78269,9116,1,6,90,90,90,4|44|6,14|46|3,37|18|0,41|20|0,NA,0|0|0|0|0|1|6|11|3,0|0|10|0|0,0,2
34,146508,time-stories,2015,Co-operative Play|Dice Rolling|Role Playing|Storytelling|Time Track|Variable Player Powers|Voting,T.I.M.E Stories|Time Travel,Adventure|Mature / Adult|Medieval|Science Fiction,11008,8.02209,7.77376,17670,2,4,90,90,90,1|17|90,9|47|68,15|90|9,127|28|2,1|6|63,0|0|0|0|0|0|2|13|20,1|0|1|13|38,0,2
35,124361,concordia,2013,Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement,Ancient Rome|Concordia,Ancient|Economic|Nautical,10441,7.98523,7.7672,11122,2,5,100,100,100,0|1|81,14|106|23,54|97|1,104|51|2,NA,1|0|0|0|0|0|4|19|6,0|15|28|1|0,0,3
36,122515,keyflower,2012,Auction/Bidding|Memory|Modular Board|Pick-up and Deliver|Route/Network Building|Set Collection|Tile Placement|Worker Placement,Colonial Theme|Crowdfunding: Kickstarter|Key-series|Keyflower|Quined Master Print Edition Series,City Building|Economic|Nautical|Renaissance|Territory Building,12106,7.93401,7.74805,14677,2,6,120,90,120,0|4|94,35|132|27,76|109|2,128|63|2,NA,0|0|0|0|0|1|6|17|8,57|4|0|0|0,0,3
37,68448,7-wonders,2010,Card Drafting|Hand Management|Set Collection|Simultaneous Action Selection|Variable Player Powers,7 Wonders|Tableau Building,Ancient|Card Game|City Building|Civilization,52980,7.83083,7.74426,68351,2,7,30,30,30,2|10|779,105|292|617,313|737|118,739|484|27,NA,0|0|1|0|10|83|121|82|18,280|82|4|1|0,0,2
38,177736,feast-odin,2016,Area Enclosure|Dice Rolling|Pattern Building|Press Your Luck|Tile Placement|Worker Placement,Admin: Better Description Needed!|Polyominoes|Solitaire Games|Vikings,Economic|Industry / Manufacturing|Medieval|Puzzle,4369,8.26909,7.72579,6005,1,4,120,30,120,18|73|10,52|58|4,45|49|4,18|49|21,0|0|55,0|0|0|0|0|1|5|8|4,0|0|8|0|0,0,3
39,171623,voyages-marco-polo,2015,Card Drafting|Dice Rolling|Point to Point Movement|Set Collection|Variable Player Powers|Worker Placement,Animals: Camels|Cities: Beijing|Cities: Hormuz|Cities: Venice,Dice|Economic|Medieval|Travel,9435,7.97737,7.72569,10569,2,4,100,40,100,1|7|81,22|123|12,57|91|0,99|49|5,0|2|58,0|0|0|0|0|1|13|19|2,47|4|0|0|0,0,3
40,18602,caylus,2005,Worker Placement,Caylus|Country: France|Ystari originals,City Building|Economic|Medieval,22020,7.85706,7.72247,22187,2,5,150,60,150,0|11|294,141|290|88,346|202|9,251|260|22,NA,0|0|0|0|0|3|10|48|43,170|4|1|0|0,0,3
41,12493,twilight-imperium-third-edition,2005,Action Point Allowance System|Area-Impulse|Dice Rolling|Hex-and-Counter|Modular Board|Trading|Variable Phase Order|Variable Player Powers|Voting,4X games|Components: Miniatures|Fantasy Flight Big Box|Twilight Imperium,Civilization|Negotiation|Political|Science Fiction|Space Exploration|Wargame,15273,7.9256,7.70607,17687,3,6,300,180,300,1|0|247,1|20|248,17|137|173,104|230|43,NA,0|0|0|0|0|0|5|32|58,0|0|11|146|17,0,4
42,146021,eldritch-horror,2013,Co-operative Play|Dice Rolling|Point to Point Movement|Variable Player Powers,Arkham Horror|Cthulhu Mythos|Eldritch Horror|Solitaire Games,Adventure|Fantasy|Fighting|Horror|Novel-based,16820,7.93733,7.70306,25382,1,8,240,120,240,34|189|84,83|228|36,89|208|24,279|89|3,NA,0|0|0|0|0|2|12|30|52,0|0|3|96|20,0,3
43,150376,dead-winter-crossroads-game,2014,Action Point Allowance System|Area Movement|Co-operative Play|Dice Rolling|Hand Management|Storytelling|Trading|Variable Player Powers|Voting,Crossroads Series,Bluffing|Horror|Zombies,23775,7.84629,7.70032,33037,2,5,210,45,210,1|9|223,7|81|176,43|248|14,262|93|2,NA,0|0|0|0|0|2|16|38|39,0|1|6|86|20,0,3
44,163412,patchwork,2014,Tile Placement|Time Track,Combinatorial|Lookout Games Fur Zwei Spieler Series|Polyominoes,Abstract Strategy|Puzzle,19725,7.82179,7.69108,29342,2,2,30,15,30,0|6|110,143|5|0,NA,NA,NA,0|0|4|3|36|35|3|1|0,58|1|0|0|0,0,1
45,62219,dominant-species,2010,Area Control / Area Influence|Card Drafting|Grid Movement|Modular Board|Tile Placement|Variable Player Powers|Worker Placement,4X games|Evolution,Animals|Environmental|Prehistoric,13134,7.85953,7.6836,13892,2,6,240,120,240,2|4|185,21|105|126,61|190|29,214|106|4,NA,0|0|0|0|0|1|1|14|39,2|21|41|3|0,0,4
46,28143,race-galaxy,2007,Hand Management|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Race for the Galaxy|Tableau Building,Card Game|Civilization|Economic|Science Fiction|Space Exploration,34813,7.77153,7.68302,41583,2,4,60,30,60,9|83|348,553|230|29,274|438|30,366|319|45,13|78|298,1|0|0|0|0|7|36|80|43,11|166|88|5|1,0,2
47,157354,five-tribes,2014,Area Control / Area Influence|Auction/Bidding|Modular Board|Set Collection|Variable Phase Order,Animals: Camels|Country: Saudi Arabia,Arabian|Fantasy|Mythology,18012,7.8283,7.68288,23847,2,4,80,40,80,1|29|162,161|135|35,125|175|5,116|148|41,3|3|154,0|0|0|0|0|3|23|23|10,52|15|3|0|0,0,2
48,110327,lords-waterdeep,2012,Set Collection|Take That|Worker Placement,Dungeons & Dragons|From RPG books to board games,City Building|Fantasy,29732,7.79487,7.68178,36373,2,5,120,60,120,1|8|241,59|253|86,242|174|5,259|142|8,NA,0|0|1|0|1|19|46|31|5,0|8|69|16|0,0,2
49,132531,roll-galaxy,2014,Deck / Pool Building|Dice Rolling|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Crowdfunding: Wspieram|Race for the Galaxy|Tableau Building,Civilization|Dice|Economic|Science Fiction|Space Exploration,14940,7.84296,7.67967,19567,2,5,45,45,45,1|15|105,18|121|27,98|64|2,87|59|2,NA,1|0|0|0|0|4|13|14|10,0|14|30|3|2,0,2
50,93,el-grande,1995,Area Control / Area Influence|Area Movement|Auction/Bidding|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Country: Spain|El Grande,Renaissance,18661,7.8022,7.67303,18017,2,5,120,60,120,2|1|241,3|45|275,19|167|148,139|239|9,NA,0|0|0|0|0|6|25|31|11,3|20|77|12|0,0,3
51,40834,dominion-intrigue,2009,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Wspieram|Dominion,Card Game|Medieval,23468,7.78906,7.66575,33109,2,4,30,30,30,1|1|147,82|138|11,156|78|2,102|110|17,7|59|105,0|2|0|0|3|17|27|16|3,0|6|43|25|4,0,2
52,103885,star-wars-x-wing-miniatures-game,2012,Action / Movement Programming|Dice Rolling|Player Elimination|Simultaneous Action Selection|Variable Player Powers,FlightPath|Star Wars|Star Wars: X-Wing Miniatures Game,Aviation / Flight|Bluffing|Collectible Components|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,17185,7.87041,7.65958,29353,2,2,45,30,45,3|15|190,256|28|0,NA,NA,NA,0|0|0|4|6|32|54|27|5,2|14|70|5|1,0,2
53,159675,fields-arle,2014,Worker Placement,Admin: Better Description Needed!|Country: Germany|Crowdfunding: Wspieram|Harvest Series|Solitaire Games,Economic|Farming|Industry / Manufacturing,3684,8.21546,7.64261,6228,1,2,120,60,120,18|39|7,56|13|0,NA,NA,NA,0|0|0|0|0|0|2|9|9,0|16|7|1|0,0,3
54,37111,battlestar-galactica,2008,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Partnerships|Role Playing|Variable Player Powers,Battlestar Galactica,Bluffing|Deduction|Movies / TV / Radio theme|Political|Science Fiction|Space Exploration|Spies/Secret Agents,25724,7.77162,7.63553,28632,3,6,300,120,300,1|13|493,2|12|501,15|145|443,50|475|165,NA,0|0|0|0|1|1|6|66|94,0|4|29|210|28,0,3
55,36218,dominion,2008,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Wspieram|Dominion|Mensa Select,Card Game|Medieval,56947,7.69482,7.60346,73359,2,4,30,30,30,5|24|785,491|696|74,720|545|12,481|673|93,19|158|617,1|0|1|1|19|116|144|74|13,1|73|220|102|16,0,2
56,172386,mombasa,2015,Action / Movement Programming|Area Control / Area Influence|Card Drafting|Deck / Pool Building|Hand Management|Simultaneous Action Selection|Stock Holding|Variable Player Powers|Worker Placement,Admin: Better Description Needed!|Colonial Theme|Continent: Africa|Tableau Building,Economic,5232,8.00595,7.60308,7076,2,4,150,75,150,0|1|47,5|58|29,17|65|4,71|21|3,0|0|40,0|0|0|0|0|0|3|11|8,24|1|0|0|0,0,3
57,2511,sherlock-holmes-consulting-detective-thames-murder,1981,Co-operative Play|Storytelling,Characters: Sherlock Holmes|Cities: London|Country: England|Mystery Novels|Solitaire Games,Deduction|Murder/Mystery|Novel-based|Post-Napoleonic|Spies/Secret Agents,9312,7.8445,7.60206,18611,1,8,120,60,120,61|59|13,84|45|6,41|68|6,29|67|18,NA,0|0|0|0|0|0|0|15|8,0|0|0|6|67,0,2
58,144733,russian-railroads,2013,Worker Placement,Admin: Better Description Needed!|Country: Russia,Industry / Manufacturing|Trains,9187,7.82601,7.59654,9996,2,4,120,90,120,0|4|61,27|80|8,46|63|6,87|34|1,1|0|59,0|0|0|0|0|1|3|13|13,49|0|0|0|0,0,3
59,102680,trajan,2011,Area Movement|Card Drafting|Hand Management|Set Collection,Ancient Rome|Quined Master Print Edition Series,Ancient|Political,9907,7.81307,7.59451,11719,2,4,120,60,120,0|3|64,39|89|14,49|84|2,83|42|7,1|0|49,0|0|0|0|0|0|4|13|10,50|1|0|0|1,0,3
60,42,tigris-euphrates,1997,Area Control / Area Influence|Hand Management|Set Collection|Tile Placement,Desert Theme|Knizia tile-laying trilogy|Middle Eastern Theme|Rivers: Euphrates|Rivers: Tigris|Tigris & Euphrates,Abstract Strategy|Ancient|Civilization|Territory Building,20393,7.72014,7.59122,22290,2,4,90,90,90,1|1|248,51|201|126,146|251|17,294|111|16,1|5|189,0|0|0|0|1|4|14|45|16,124|3|1|0|0,0,3
61,30549,pandemic,2008,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Pandemic,Medical,63999,7.67034,7.58268,91601,2,4,45,45,45,83|409|356,220|676|98,340|621|23,707|293|29,17|109|450,0|0|0|2|19|105|133|72|13,10|243|39|3|1,0,2
62,194655,santorini,2016,Grid Movement|Tile Placement|Variable Player Powers,3D Games|5x5 grid|Country: Greece|Crowdfunding: Kickstarter|Games by the Game Artisans of Canada|Islands: Santorini,Abstract Strategy|Ancient|Mythology,5253,8.03128,7.58245,8650,2,4,20,20,20,0|1|47,66|10|1,11|26|21,4|26|20,0|0|45,0|0|0|4|8|5|3|0|0,9|3|0|0|0,0,1
63,73439,troyes,2010,Area Control / Area Influence|Dice Rolling|Worker Placement,Cities: Troyes (France)|Country: France,Dice|Economic|Medieval,11532,7.75885,7.5788,12226,1,4,90,90,90,1|14|118,70|158|22,172|84|2,53|138|39,0|0|114,0|0|0|0|0|0|2|25|21,70|12|2|1|0,0,3
64,521,crokinole,1876,Partnerships,Admin: Better Description Needed!|Crokinole|Finger Flicking Games,Action / Dexterity,7812,7.80521,7.57014,5646,2,4,30,30,30,0|10|86,90|42|1,0|31|73,102|29|4,0|2|88,0|0|1|1|26|7|0|0|0,49|0|0|0|1,0,1
65,104162,descent-journeys-dark-second-edition,2012,Action Point Allowance System|Dice Rolling|Grid Movement|Hand Management|Modular Board|Partnerships|Variable Player Powers,Campaign Games|Components: Miniatures|Descent|Monsters|The Realms of Terrinoth,Adventure|Exploration|Fantasy|Fighting|Miniatures,14973,7.79389,7.56958,23934,2,5,120,120,120,7|21|178,29|133|72,40|179|20,104|135|11,NA,0|0|0|0|1|12|40|37|14,0|1|9|79|1,0,3
66,155426,castles-mad-king-ludwig,2014,Card Drafting|Pattern Building|Set Collection|Tile Placement,Country: Germany|Crowdfunding: Wspieram|Mensa Select,Post-Napoleonic,13694,7.72913,7.56648,18478,1,4,90,90,90,2|30|78,33|84|40,69|88|1,107|52|3,2|0|64,0|0|0|0|1|6|16|9|4,8|32|3|1|0,0,2
67,9609,war-ring-first-edition,2004,Action Point Allowance System|Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Novel-based|Territory Building|Wargame,8966,7.81113,7.55361,11477,2,4,180,180,180,1|9|133,269|28|4,4|53|129,11|88|94,0|0|132,2|0|0|0|0|2|9|25|35,1|0|8|71|13,0,3
68,128882,resistance-avalon,2012,Memory|Partnerships|Simultaneous Action Selection|Variable Player Powers|Voting,Crowdfunding: Kickstarter|The Legend of King Arthur and the Knights of the Round Table|Postcard Box Games|Werewolf / Mafia,Bluffing|Card Game|Deduction|Fantasy|Medieval|Negotiation|Party Game,16452,7.71256,7.54444,23201,5,10,30,30,30,1|0|139,0|0|139,0|0|139,1|1|138,NA,0|0|0|0|2|3|11|21|10,15|34|0|0|0,0,1
69,155068,arcadia-quest,2014,Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,Anime & Manga|Arcadia Quest|Campaign Games|Crowdfunding: Kickstarter,Adventure|Fantasy|Fighting|Miniatures,5243,7.99487,7.54333,8938,2,4,60,60,60,1|3|63,6|57|21,18|59|12,87|14|2,0|2|43,0|0|0|1|1|14|15|6|0,0|7|14|0|0,0,2
70,127023,kemet,2012,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management,Country: Egypt|Desert Theme|Monsters,Ancient|Fighting|Miniatures|Mythology,9549,7.77598,7.54116,11684,2,5,90,90,60,0|0|81,5|51|64,28|89|5,71|56|2,NA,0|0|0|0|0|5|6|15|5,26|11|0|0|0,0,2
71,103343,game-thrones-board-game-second-edition,2011,Area Control / Area Influence|Area Movement|Auction/Bidding|Hand Management|Player Elimination|Simultaneous Action Selection|Variable Player Powers,A Game of Thrones: The Board Game|A Song of Ice and Fire,Bluffing|Fantasy|Negotiation|Novel-based|Political|Wargame,18211,7.73139,7.53803,23626,3,6,240,120,240,3|1|355,1|5|361,24|137|314,20|255|209,NA,1|0|0|0|0|1|4|23|62,0|85|49|4|1,0,3
72,34635,stone-age,2008,Dice Rolling|Set Collection|Worker Placement,Stone Age,Dice|Prehistoric,31064,7.63141,7.53737,32498,2,4,90,60,90,1|12|324,133|332|89,167|381|17,423|164|22,4|7|254,0|0|1|1|7|54|84|33|2,223|4|0|0|0,0,2
73,161970,alchemists,2014,Action Point Allowance System|Card Drafting|Hand Management|Worker Placement,"",Deduction|Fantasy,10208,7.76688,7.53323,13635,2,4,120,120,120,0|4|87,31|95|19,68|80|2,90|53|7,0|2|70,0|0|0|0|0|4|8|21|18,0|18|24|2|0,0,3
74,125153,gallerist,2015,Commodity Speculation|Set Collection|Worker Placement,Crowdfunding: Giochistarter|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede|Solitaire Games|Visual Arts: Painting,Economic,3846,8.04943,7.52641,5879,1,4,150,60,150,0|38|16,16|43|11,22|42|3,48|18|6,0|0|36,0|0|0|0|0|1|0|10|7,19|0|0|0|0,0,4
