rank,ID,name,year,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,min_players,max_players,play_time,min_play_time,max_play_time,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
815,179172,unfair,2017,Card Drafting|Hand Management|Set Collection|Take That|Variable Player Powers,Crowdfunding: Kickstarter|Tableau Building,Card Game|City Building|Economic|Print & Play,1133,7.68868,6.5225,2561,2,5,125,50,125,0|0|14,4|19|2,8|14|0,17|7|1,NA,0|0|0|0|0|1|4|1|0,0|0|3|1|0,0,2
816,160610,thunderbirds,2015,Co-operative Play|Pick-up and Deliver|Storytelling,Celebrities: Gerry Anderson|Crowdfunding: Kickstarter|TV Series: Thunderbirds,Movies / TV / Radio theme,978,7.71921,6.52156,2074,1,4,60,45,60,2|8|0,2|8|1,10|5|0,4|6|1,1|0|2,0|0|0|0|1|3|3|0|0,0|1|6|0|0,0,2
817,176165,dale-merchants,2015,Card Drafting|Deck / Pool Building|Dice Rolling|Hand Management|Set Collection|Take That,Crowdfunding: Kickstarter,Animals|Card Game|Fantasy,1255,7.34901,6.52082,2112,2,4,40,20,40,0|0|12,20|2|0,9|13|0,5|9|5,0|1|11,0|0|0|0|0|3|4|0|0,0|1|9|1|0,0,2
818,148943,coup-rebellion-g54,2014,Player Elimination|Take That|Variable Player Powers,Country: Guatemala|Crowdfunding: Kickstarter|Dystopian Universe,Bluffing|Card Game|Deduction|Negotiation|Political,1495,7.20359,6.52018,4259,3,6,15,15,15,0|0|16,0|1|14,1|10|6,7|12|0,NA,0|0|0|0|0|0|1|5|2,0|5|5|0|0,0,1
819,1115,poker,1810,Betting/Wagering|Player Elimination|Set Collection,Games for Dummies|Poker|Promotional Board Games|Traditional Card Games,Bluffing|Card Game,7037,6.70325,6.51991,5727,2,10,60,60,60,0|1|64,5|24|49,6|41|32,26|48|10,NA,0|0|0|0|0|2|5|8|10,34|1|0|0|0,0,2
820,113873,hunters-german-u-boats-war-1939-43,2013,Dice Rolling|Simulation,Campaign Games|Solitaire Games|Solitaire Wargames|Underwater War,Wargame|World War II,890,7.72199,6.51985,2129,1,2,120,120,120,32|3|0,1|4|15,NA,NA,NA,0|0|0|0|0|1|2|9|2,0|2|6|3|0,0,2
821,3284,star-wars-epic-duels,2002,Campaign / Battle Card Driven|Player Elimination|Roll / Spin and Move|Variable Player Powers,Components: Miniatures|Star Wars,Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction,2704,6.97712,6.51962,3502,2,6,30,30,30,0|1|26,21|20|0,2|12|19,19|20|0,NA,0|0|0|0|7|6|3|0|0,1|2|7|3|2,0,1
822,38343,ad-astra,2009,Action / Movement Programming|Simultaneous Action Selection|Trading|Variable Phase Order,"",Civilization|Science Fiction|Space Exploration,2596,6.89538,6.51955,2629,3,5,60,60,60,0|0|25,0|3|21,9|27|2,28|14|1,NA,0|0|0|0|0|0|6|8|0,5|16|3|0|0,0,2
823,142961,thunderstone-advance-numenera,2013,Card Drafting|Deck / Pool Building|Hand Management,Thunderstone|Thunderstone Advance,Card Game|Fantasy|Science Fiction,1030,7.4809,6.51848,2542,1,5,90,60,90,1|6|5,9|6|0,10|5|0,2|9|3,NA,0|0|0|0|0|0|2|2|0,0|0|1|5|0,0,2
824,179572,dice-city,2015,Dice Rolling|Take That|Worker Placement,"",City Building|Dice|Medieval,2527,6.91249,6.51653,4385,1,4,60,45,60,0|14|7,21|12|0,15|11|2,1|9|17,0|0|18,0|0|0|0|0|6|2|0|1,0|8|2|0|0,0,2
825,88827,battle-cry-150th-civil-war-anniversary-edition,2010,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Modular Board,Commands & Colors,American Civil War|Civil War|Wargame,917,7.64387,6.51544,1791,2,2,45,45,45,0|6|9,34|3|0,NA,NA,NA,0|0|0|0|0|4|8|6|0,0|9|1|0|1,0,2
826,146221,forge-war,2015,Grid Movement|Role Playing|Variable Phase Order|Worker Placement,Crowdfunding: Kickstarter|Solitaire Games,Adventure|Economic|Fantasy|Industry / Manufacturing|Medieval,1105,7.46299,6.51497,2225,1,4,180,60,180,1|8|5,6|16|1,15|7|0,6|15|2,0|0|11,0|0|0|0|0|0|0|4|3,0|5|1|0|0,0,3
827,129459,duel-ages-ii,2013,Grid Movement|Hex-and-Counter|Modular Board|Partnerships|Variable Player Powers,Duel of Ages,Adventure|Fantasy|Fighting|Science Fiction|Wargame,996,7.5748,6.51401,2031,2,8,150,150,150,1|3|20,26|12|0,1|19|9,20|13|1,NA,0|0|0|0|0|0|2|5|2,0|0|1|8|1,0,3
828,83195,ghost-blitz,2010,Pattern Recognition,Geistesblitz|Ghosts,Action / Dexterity|Card Game|Children's Game|Real-time,3976,6.77647,6.51384,5543,2,8,20,20,20,0|1|23,2|19|11,6|17|5,19|15|0,NA,0|1|5|12|3|3|2|0|0,19|0|0|0|0,0,1
829,192135,too-many-bones,2017,Co-operative Play|Deck / Pool Building|Dice Rolling|Hand Management|Role Playing,Crowdfunding: Kickstarter,Adventure|Dice|Fantasy|Wargame,549,8.84448,6.51371,1063,1,4,120,60,120,4|16|1,7|13|0,15|5|0,5|8|1,0|0|15,0|0|0|0|0|0|3|3|1,0|0|4|1|0,0,3
830,184424,mega-civilization,2015,Area Movement|Set Collection|Trading,Civilization,Ancient|Civilization|Economic|Negotiation,575,8.35762,6.51344,960,5,18,720,360,720,0|0|20,0|1|19,0|1|19,1|3|18,NA,0|0|0|0|0|0|0|6|7,0|1|13|2|0,0,3
831,1499,world-flames,1985,Area Movement|Dice Rolling|Hex-and-Counter,World in Flames,Wargame|World War II,1170,7.49972,6.5134,2190,2,7,6000,120,6000,1|4|16,4|10|14,2|17|7,9|24|2,NA,0|0|0|0|0|0|0|0|4,3|6|6|0|3,0,4
832,142079,space-cadets-dice-duel,2013,Action / Movement Programming|Dice Rolling|Grid Movement|Partnerships,Space Cadets,Dice|Fighting|Party Game|Real-time|Science Fiction|Space Exploration,2458,6.91971,6.51307,4131,4,8,30,30,30,0|0|33,0|0|34,0|0|34,3|24|14,NA,0|0|0|0|0|1|3|3|0,8|1|0|0|0,0,2
833,177802,smash-its-your-fault,2016,Area Control / Area Influence|Hand Management|Take That|Variable Phase Order|Worker Placement,Smash Up,Card Game|Fantasy|Horror|Humor|Medieval|Mythology|Science Fiction|Spies/Secret Agents|Zombies,852,7.7633,6.51269,3504,2,2,60,45,60,0|0|0,0|0|0,NA,NA,NA,0|0|0|0|0|0|0|0|0,0|0|2|0|0,0,2
834,730,breakout-normandy,1992,Area-Impulse,Avalon Hill area-impulse series,Wargame|World War II,880,7.67044,6.51223,1961,2,2,240,240,240,1|7|3,14|2|0,NA,NA,NA,0|0|0|0|0|0|1|1|2,2|2|0|0|0,0,3
835,181796,prodigals-club,2015,Action Point Allowance System|Hand Management|Worker Placement,Country: England,Card Game|Economic,987,7.4698,6.51164,2258,2,5,100,40,100,0|0|5,4|6|6,5|12|0,9|6|0,NA,0|0|0|0|0|0|0|2|0,3|0|0|0|0,0,3
836,167270,medina-second-edition,2014,Area Control / Area Influence|Press Your Luck|Tile Placement,Country: Saudi Arabia|Desert Theme,Abstract Strategy|City Building,1127,7.37429,6.51091,1863,2,4,60,60,60,0|0|12,3|12|2,4|10|0,12|4|1,0|0|9,0|0|0|0|0|3|2|0|0,5|0|0|0|0,0,2
837,134253,hostage-negotiator,2015,Card Drafting|Dice Rolling|Hand Management,Crowdfunding: Kickstarter|Solitaire Games,Card Game|Dice,1540,7.17634,6.51035,3228,1,1,20,20,20,31|1|0,NA,NA,NA,NA,0|0|0|0|0|0|1|2|9,0|7|7|0|0,0,1
838,5716,balloon-cup,2003,Hand Management|Set Collection,Balloons|Kosmos two-player series,Aviation / Flight|Card Game,5133,6.70908,6.50972,5306,2,2,30,30,30,0|0|47,57|6|1,NA,NA,NA,0|0|0|0|0|11|10|2|0,41|0|0|0|0,0,1
839,134453,little-prince-make-me-planet,2013,Card Drafting|Set Collection,The Little Prince,Novel-based|Territory Building,2390,6.93479,6.50962,2944,2,5,25,25,25,0|1|23,18|20|2,8|33|1,25|16|3,NA,0|0|0|1|8|12|2|0|0,23|2|0|0|0,0,1
840,41933,arctic-scavengers,2009,Card Drafting|Deck / Pool Building|Hand Management,Arctic Scavengers|Arctic Theme,Bluffing|Card Game|Fighting,2240,6.96008,6.50848,2865,2,5,60,45,60,0|2|24,3|15|19,18|21|2,26|12|2,NA,0|0|0|0|0|2|6|3|0,0|9|2|0|0,0,2
841,147253,ancient-world,2014,Card Drafting|Dice Rolling|Set Collection|Worker Placement,The Ancient World|Crowdfunding: Kickstarter,Ancient|Civilization|Fantasy,1385,7.22615,6.50773,2299,2,4,90,90,90,0|1|10,2|9|6,6|8|0,10|7|0,0|0|10,0|0|0|0|0|1|2|2|0,1|6|1|0|0,0,2
842,57925,havana,2009,Hand Management|Memory|Set Collection|Simultaneous Action Selection,Country: Cuba|Eggertspiele Cuba series,Bluffing|Card Game,2526,6.89006,6.50768,3149,2,4,45,30,45,0|0|20,6|29|3,26|9|0,8|19|5,0|0|14,0|0|0|0|0|4|7|1|0,1|14|5|0|0,0,2
843,165986,royals,2014,Area Control / Area Influence|Card Drafting|Set Collection,Dice Tower Essentials,"",1286,7.2742,6.50419,1816,2,5,60,60,60,0|0|13,1|11|8,6|15|1,14|10|1,NA,0|0|0|0|0|3|1|0|0,9|0|0|0|0,0,2
844,19622,victory-lost,2006,Chit-Pull System|Dice Rolling|Hex-and-Counter,Country: Russia|International Games Series|A Victory Lost Series,Wargame|World War II,878,7.65657,6.50386,1716,2,2,360,360,360,2|25|2,28|3|1,NA,NA,NA,0|0|0|0|0|0|0|1|5,7|1|1|0|1,0,2
845,2842,transamerica,2001,Route/Network Building,Country: USA|Immortal Eyes Games Collection|Mensa Select|Transamerica,Trains|Transportation,6793,6.66533,6.50324,6305,2,6,30,30,30,0|0|61,3|38|52,10|65|20,46|42|5,NA,0|0|0|0|13|19|2|2|0,38|2|0|0|0,0,1
